36;MAYO 2024;EB 43-0041;CARGADOR FRONTAL;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;33.8042;0;0;0;0;0
37;JUNIO 2024;EB 43-0041;CARGADOR FRONTAL;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;33.8042;0;0;0;0;0
38;JULIO 2024;EB 43-0041;CARGADOR FRONTAL;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;33.8042;0;0;0;0;0
39;AGOSTO 2024;EB 43-0041;CARGADOR FRONTAL;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;33.8042;0;0;0;0;0
40;SEPTIEMBRE 2024;EB 43-0041;CARGADOR FRONTAL;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;33.8042;0;0;0;0;0
41;OCTUBRE 2024;EB 43-0041;CARGADOR FRONTAL;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;33.8042;0;0;0;0;0
42;NOVIEMBRE 2024;EB 43-0041;CARGADOR FRONTAL;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;33.8042;0;0;0;0;0
43;DICIEMBRE 2024;EB 43-0041;CARGADOR FRONTAL;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;33.8042;0;0;0;0;0
44;ENERO 2025;EB 43-0041;CARGADOR FRONTAL;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;33.8042;0;0;0;0;0
45;ENERO 2024;EB 55-0006;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;48.7042;0;0;0;0;0
46;FEBRERO 2024;EB 55-0006;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;48.7042;0;0;0;0;0
47;MARZO 2024;EB 55-0006;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;48.7042;0;0;0;0;0
48;ABRIL 2024;EB 55-0006;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;48.7042;0;0;0;0;0
49;MAYO 2024;EB 55-0006;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;48.7042;0;0;0;0;0
50;JUNIO 2024;EB 55-0006;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;48.7042;0;0;0;0;0
51;JULIO 2024;EB 55-0006;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;48.7042;0;0;0;0;0
52;AGOSTO 2024;EB 55-0006;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;48.7042;0;0;0;0;0
53;SEPTIEMBRE 2024;EB 55-0006;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;48.7042;0;0;0;0;0
54;OCTUBRE 2024;EB 55-0006;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;48.7042;0;0;0;0;0
55;NOVIEMBRE 2024;EB 55-0006;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;48.7042;0;0;0;0;0
56;DICIEMBRE 2024;EB 55-0006;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;48.7042;0;0;0;0;0
57;ENERO 2025;EB 55-0006;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;48.7042;0;0;0;0;0
58;ENERO 2024;EB 42-0046;MOTONIVELADORA;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;53.2042;0;0;0;0;0
59;FEBRERO 2024;EB 42-0046;MOTONIVELADORA;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;53.2042;0;0;0;0;0
60;MARZO 2024;EB 42-0046;MOTONIVELADORA;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;53.2042;0;0;0;0;0
61;ABRIL 2024;EB 42-0046;MOTONIVELADORA;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;53.2042;0;0;0;0;0
62;MAYO 2024;EB 42-0046;MOTONIVELADORA;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;53.2042;0;0;0;0;0
